>AGTRAP_ENST00000314340.10,chr1:11736136-11750769
1,11736136,11736235
2,11745803,11745837
3,11747440,11747545
4,11748415,11748610
5,11750077,11750769
>CLCN6_ENST00000346436.11,chr1:11806191-11843130
1,11806191,11806349
2,11807131,11807190
3,11815846,11815911
4,11816615,11816680
5,11819488,11819554
6,11822695,11822801
7,11823707,11823833
8,11824486,11824553
9,11826156,11826214
10,11827089,11827221
11,11828106,11828219
12,11828458,11828624
13,11829196,11829322
14,11833515,11833638
15,11833877,11834030
16,11834236,11834395
17,11834484,11834590
18,11835967,11836153
19,11836999,11837156
20,11837343,11837499
21,11838335,11838442
22,11838535,11838660
23,11840143,11843130
>PAX7_ENST00000420770.7,chr1:18630846-18748866
1,18630846,18631688
2,18634303,18634538
3,18635111,18635240
4,18636237,18636371
5,18691754,18691953
6,18700653,18700818
7,18703094,18703296
8,18735632,18735878
9,18744814,18748866
>ARID1A_ENST00000324856.13,chr1:26696015-26782104
1,26696015,26697540
2,26729651,26729863
3,26731152,26731604
4,26732676,26732792
5,26760856,26761096
6,26761384,26761473
7,26762152,26762319
8,26762973,26763285
9,26766221,26766366
10,26766457,26766566
11,26767790,26767999
12,26771119,26771326
13,26772500,26772632
14,26772812,26772987
15,26773346,26773496
16,26773580,26773717
17,26773802,26773898
18,26774329,26775220
19,26775577,26775707
20,26779023,26782104
>SFPQ_ENST00000357214.6,chr1:35182936-35193145
1,35192222,35193145
2,35191341,35191529
3,35190694,35190995
4,35190498,35190593
5,35189186,35189382
6,35189003,35189087
7,35187973,35188090
8,35187203,35187251
9,35187001,35187122
10,35182936,35184593
>THRAP3_ENST00000354618.10,chr1:36224443-36305357
1,36224443,36224505
2,36259382,36259484
3,36282533,36282700
4,36286368,36287270
5,36289060,36289764
6,36291374,36291546
7,36292598,36292709
8,36293851,36293935
9,36296583,36296770
10,36300886,36301084
11,36301553,36301696
12,36303796,36305357
>MEAF6_ENST00000296214.10,chr1:37489993-37514766
1,37514657,37514766
2,37513423,37513538
3,37509455,37509542
4,37509278,37509323
5,37501804,37501996
6,37495885,37495918
7,37489993,37494107
>GPBP1L1_ENST00000355105.8,chr1:45627304-45686533
1,45686412,45686533
2,45685576,45685620
3,45660184,45661225
4,45659028,45659142
5,45655190,45655319
6,45654543,45654829
7,45642427,45642499
8,45640210,45640403
9,45634096,45634236
10,45633489,45633647
11,45630482,45630606
12,45629576,45629678
13,45627304,45628408
>MAST2_ENST00000361297.7,chr1:45803612-46036122
1,45803612,45804072
2,45824433,45824580
3,45829439,45829581
4,45882364,45882395
5,45959386,45959477
6,45997724,45997799
7,46002805,46002883
8,46006241,46006395
9,46008296,46008371
10,46010730,46010939
11,46019596,46019697
12,46021950,46022082
13,46022910,46022971
14,46023233,46023318
15,46023772,46023980
16,46025677,46025815
17,46027731,46027863
18,46028768,46028933
19,46029466,46029567
20,46029831,46029953
21,46030129,46030238
22,46030607,46030761
23,46031007,46031290
24,46031391,46031585
25,46032178,46032404
26,46032596,46032718
27,46033802,46033938
28,46034073,46034266
29,46034538,46036122
>TAL1_ENST00000294339.3,chr1:47216292-47229771
1,47229196,47229771
2,47225443,47225889
3,47224004,47224098
4,47216292,47220174
>STIL_ENST00000371877.8,chr1:47250139-47314147
1,47314036,47314147
2,47310276,47310362
3,47304889,47304996
4,47302234,47302346
5,47301561,47301748
6,47299905,47300152
7,47295765,47295848
8,47293458,47293544
9,47289435,47289585
10,47287551,47287660
11,47282345,47282459
12,47280241,47281209
13,47272076,47272241
14,47269635,47269866
15,47262903,47263116
16,47260289,47260539
17,47250139,47251922
>EPS15_ENST00000371733.8,chr1:51354263-51519266
1,51519199,51519266
2,51481273,51481314
3,51472859,51472948
4,51471690,51471737
5,51468473,51468568
6,51465261,51465326
7,51463673,51463798
8,51461091,51461150
9,51448046,51448135
10,51446960,51447105
11,51444889,51445045
12,51440347,51440432
13,51421786,51421858
14,51409535,51409696
15,51408135,51408332
16,51405905,51406108
17,51403419,51403532
18,51402435,51402525
19,51400918,51400953
20,51399032,51399165
21,51394381,51394447
22,51365953,51366029
23,51363866,51364028
24,51361171,51361355
25,51354263,51356846
>NFIA_ENST00000403491.8,chr1:61082561-61462788
1,61082561,61082818
2,61088149,61088680
3,61277520,61277585
4,61332512,61332586
5,61352450,61352567
6,61359147,61359274
7,61383237,61383365
8,61404104,61404282
9,61406562,61406727
10,61426465,61426556
11,61455303,61462788
>ATG4C_ENST00000317868.9,chr1:62784132-62865516
1,62784132,62784273
2,62803719,62803862
3,62805172,62805255
4,62816575,62816808
5,62819005,62819335
6,62821139,62821209
7,62829040,62829176
8,62834038,62834116
9,62834776,62834852
10,62841428,62841547
11,62863992,62865516
>TRIM33_ENST00000358465.7,chr1:114392790-114511203
1,114510551,114511203
2,114464270,114464388
3,114463412,114463556
4,114463104,114463236
5,114433617,114433733
6,114430798,114430912
7,114427748,114427894
8,114427177,114427294
9,114425449,114425723
10,114424591,114424755
11,114421436,114421636
12,114410184,114410316
13,114408677,114408740
14,114406941,114407100
15,114405410,114405759
16,114402760,114402883
17,114401389,114401463
18,114399457,114399609
19,114397940,114397990
20,114392790,114397860
>SYCP1_ENST00000369522.8,chr1:114854863-114995370
1,114854863,114855018
2,114855441,114855572
3,114856573,114856657
4,114857232,114857275
5,114857444,114857497
6,114858547,114858711
7,114859743,114859810
8,114860736,114860809
9,114874506,114874564
10,114876069,114876138
11,114876737,114876810
12,114878094,114878202
13,114885535,114885629
14,114886125,114886309
15,114887626,114887693
16,114895448,114895509
17,114910397,114910501
18,114911479,114911582
19,114913033,114913150
20,114913975,114914045
21,114923449,114923530
22,114926278,114926340
23,114926501,114926563
24,114944339,114944455
25,114944872,114944982
26,114946289,114946381
27,114947246,114947320
28,114977557,114977616
29,114981336,114981512
30,114984725,114984868
31,114994698,114994787
32,114994882,114995370
>MLLT11_ENST00000368921.5,chr1:151060397-151069544
1,151060397,151060553
2,151067219,151069544
>TPM3_ENST00000651641.1,chr1:154161813-154192100
1,154191902,154192100
2,154191186,154191311
3,154176115,154176248
4,154173084,154173201
5,154172908,154172978
6,154171413,154171488
7,154170649,154170711
8,154170400,154170469
9,154169305,154169383
10,154161813,154167940
>ATP8B2_ENST00000368489.6,chr1:154325525-154351304
1,154325525,154325702
2,154328105,154328172
3,154330396,154330454
4,154330815,154330928
5,154331048,154331146
6,154331444,154331505
7,154331606,154331678
8,154331954,154332024
9,154332618,154332697
10,154334107,154334265
11,154334503,154334591
12,154337348,154337544
13,154340854,154341062
14,154342480,154342523
15,154342796,154342961
16,154343113,154343301
17,154343453,154343568
18,154343893,154344057
19,154344143,154344254
20,154344395,154344500
21,154344641,154344785
22,154344971,154345154
23,154345322,154345545
24,154345800,154345883
25,154346231,154346476
26,154346620,154346758
27,154348408,154348538
28,154348840,154351304
